,CUSTOMER_ID,GENDER,AVG_MONTHLY_TRANSACTIONS,DAILY_AVG_APP_DURATION,RESIDENTIAL,Bank_type,SUBSCRIPTION_STATUS
0,1000,M,2500,1,Rural,Cooperative,1
1,1001,M,5289,18,Urban,Cooperative,0
2,1002,M,7210,15,Rural,Cooperative,1
3,1003,M,99153200,6,Urban,Undertaking,1
4,1004,M,520,14,Urban,Pvt,1
5,1005,F,1700,18,Urban,Undertaking,1
6,1006,F,1290,21,Rural,Gvt,1
7,1007,M,1487,14,Rural,Pvt,0
8,1008,F,1210,7,Urban,Cooperative,0
9,1009,M,42586,14,Urban,Gvt,1
10,1010,M,1210,14,Urban,Gvt,1
11,1011,F,99153200,9,Rural,Cooperative,0
12,1012,F,1210,18,Urban,Gvt,0
13,1013,M,42586,20,Urban,Cooperative,0
14,1014,M,415,20,Urban,Cooperative,0
15,1015,M,2500,15,Urban,Cooperative,1
16,1016,M,900,16,Rural,Undertaking,1
17,1017,F,1900,9,Rural,Cooperative,1
18,1018,F,52000,15,Urban,Gvt,1
19,1019,F,1649,12,Urban,Cooperative,0
20,1020,M,1550,16,Rural,Cooperative,1
21,1021,F,1210,21,Rural,Undertaking,1
22,1022,M,6271,17,Urban,Pvt,0
23,1023,F,854,14,Rural,Undertaking,0
24,1024,M,13340,15,Rural,Undertaking,1
25,1025,M,6647,16,Urban,Pvt,1
26,1026,F,9420,3,Rural,Cooperative,0
27,1027,F,400,17,Rural,Undertaking,1
28,1028,F,415,14,Rural,Undertaking,1
29,1029,M,415,20,Rural,Pvt,0
30,1030,F,99153200,4,Urban,Gvt,0
31,1031,F,7220,9,Urban,Pvt,0
32,1032,F,577,17,Urban,Gvt,1
33,1033,F,96874,9,Urban,Undertaking,1
34,1034,M,52000,6,Urban,Pvt,0
35,1035,M,10401,52,Rural,Cooperative,0
36,1036,M,96874,4,Urban,Pvt,0
37,1037,M,5289,17,Urban,Cooperative,1
38,1038,M,3254,9,Rural,Pvt,0
39,1039,F,26000,6,Rural,Pvt,0
40,1040,M,42586,17,Rural,Cooperative,0
41,1041,M,6271,4,Rural,Cooperative,1
42,1042,M,1487,8,Urban,Cooperative,1
